name,capital,languages,population,flag,currency
Turkmenistan,Ashgabat,"['Turkmen', 'Russian']",4751120,https://restcountries.eu/data/tkm.svg,Turkmenistan manat
Turks and Caicos Islands,Cockburn Town,['English'],31458,https://restcountries.eu/data/tca.svg,United States dollar
Tuvalu,Funafuti,['English'],10640,https://restcountries.eu/data/tuv.svg,Australian dollar
Uganda,Kampala,"['English', 'Swahili']",33860700,https://restcountries.eu/data/uga.svg,Ugandan shilling
Ukraine,Kiev,['Ukrainian'],42692393,https://restcountries.eu/data/ukr.svg,Ukrainian hryvnia
United Arab Emirates,Abu Dhabi,['Arabic'],9856000,https://restcountries.eu/data/are.svg,United Arab Emirates dirham
United Kingdom of Great Britain and Northern Ireland,London,['English'],65110000,https://restcountries.eu/data/gbr.svg,British pound
United States of America,"Washington, D.C.",['English'],323947000,https://restcountries.eu/data/usa.svg,United States dollar
Uruguay,Montevideo,['Spanish'],3480222,https://restcountries.eu/data/ury.svg,Uruguayan peso
Uzbekistan,Tashkent,"['Uzbek', 'Russian']",31576400,https://restcountries.eu/data/uzb.svg,Uzbekistani so'm
Vanuatu,Port Vila,"['Bislama', 'English', 'French']",277500,https://restcountries.eu/data/vut.svg,Vanuatu vatu
Venezuela (Bolivarian Republic of),Caracas,['Spanish'],31028700,https://restcountries.eu/data/ven.svg,Venezuelan bolívar
Viet Nam,Hanoi,['Vietnamese'],92700000,https://restcountries.eu/data/vnm.svg,Vietnamese đồng
Wallis and Futuna,Mata-Utu,['French'],11750,https://restcountries.eu/data/wlf.svg,CFP franc
Western Sahara,El Aaiún,['Spanish'],510713,https://restcountries.eu/data/esh.svg,Moroccan dirham
Yemen,Sana'a,['Arabic'],27478000,https://restcountries.eu/data/yem.svg,Yemeni rial
Zambia,Lusaka,['English'],15933883,https://restcountries.eu/data/zmb.svg,Zambian kwacha
Zimbabwe,Harare,"['English', 'Shona', 'Northern Ndebele']",14240168,https://restcountries.eu/data/zwe.svg,Botswana pula
